Stock,Date,Open,High,Low,Close,Volume,Log Return,Volatility
AAPL,2001-04-30,22.09,27.12,18.75,25.49,199267700,0.24505707505215163,
AAPL,2001-03-30,17.81,23.75,17.19,22.07,192840400,-0.14406699811937895,
AAPL,2001-02-28,20.69,21.94,18.0,18.25,125424400,-0.19005414024014458,
AAPL,2001-01-31,14.88,22.5,14.44,21.62,244811800,0.16945373218256185,
AAPL,2000-12-29,17.0,17.5,13.63,14.88,158195900,-0.37360078280611636,
AAPL,2000-11-30,19.44,23.0,16.12,16.5,151578100,0.10334235150158913,
AAPL,2000-10-31,26.69,26.75,17.5,19.56,391174800,0.17012628370013624,
AAPL,2000-09-29,61.31,64.12,25.37,25.75,259230900,0.27494796250307396,
AAPL,2000-08-31,50.31,61.5,44.25,60.94,100644400,0.8614551464478177,
AAPL,2000-07-31,52.13,60.63,46.88,50.81,102620900,-0.18179658795192236,
AAPL,2000-06-30,81.75,103.94,50.31,52.38,89106200,0.03043165347392541,
AAPL,2000-05-31,124.87,126.25,81.75,84.0,87569200,0.47229195976374766,
AAPL,2000-04-28,135.5,139.5,104.87,124.06,77342900,0.38994852070165786,
AAPL,2000-03-31,118.56,150.38,114.0,135.81,77663900,0.0904915305710055,
AAPL,2000-02-29,104.0,119.94,97.0,114.62,65355200,-0.1696345409923855,
AAPL,2000-01-31,104.87,121.5,86.5,103.75,112099800,-0.09963815001278373,
AAPL,1999-12-31,101.0,118.0,91.06,102.81,84091200,-0.009101534556180483,
AMZN,2025-03-04,213.352,214.01,197.432,203.8,103801531,0.0,
AMZN,2025-02-28,234.06,242.52,204.16,212.28,783718420,0.04076703717106962,
AMZN,2025-01-31,222.03,241.77,216.2,237.68,652629074,0.11301907319465802,
AMZN,2024-12-31,209.96,233.0,209.5101,219.39,760918833,-0.08007426320338282,
AMZN,2024-11-29,199.0,215.9,194.3101,207.89,905938116,-0.05384187429194673,
AMZN,2024-10-31,184.9,195.61,180.25,186.4,734067340,-0.1091141914075319,
AMZN,2024-09-30,177.55,195.37,171.16,186.33,764498511,-0.0003756070121694793,
AMZN,2024-08-30,189.285,190.6,151.61,178.5,971024071,-0.0429306940196276,
AMZN,2024-07-31,193.49,201.2,176.8,186.98,868117789,0.04641305804347581,
AMZN,2024-06-28,177.7,199.84,175.92,193.25,813275850,0.03298302820436172,
AMZN,2024-05-31,181.635,191.7,173.87,176.44,892339076,-0.09100381223079235,
AMZN,2024-04-30,180.79,189.77,166.32,175.0,913774690,-0.008194901313224902,
AMZN,2024-03-28,176.75,181.7,171.47,180.38,700200667,0.030279762814048088,
AMZN,2024-02-29,155.87,177.22,155.62,176.76,1045157826,-0.02027285647502294,
AMZN,2024-01-31,151.54,161.73,144.05,155.2,952721600,-0.13007827251342088,
AMZN,2023-12-29,146.0,155.63,142.81,151.94,930652363,-0.021228901674042764,
AMZN,2023-11-30,133.96,149.26,133.71,146.09,1026201791,-0.03926283593065279,
AMZN,2023-10-31,127.28,134.48,118.35,133.09,1224706726,-0.09319727904595797,
